timestamp,machine_id,speed_board_per_min,fault_code,counter_total,feeder_status,temperature_c,vibration_mm_s,oee_percent
2024-01-15 00:00:00,MC001,79.4,0,35213,RUNNING,74.5,1.5,77.8
2024-01-15 00:00:00,MC002,110.0,0,30245,RUNNING,80.0,1.5,82.9
2024-01-15 00:00:00,MC003,80.4,0,28036,RUNNING,69.1,1.7,82.9
2024-01-15 00:05:00,MC001,84.9,0,35637,RUNNING,75.1,2.2,83.2
2024-01-15 00:05:00,MC002,0.0,E002,30245,STOPPED,62.6,0.2,0.0
2024-01-15 00:05:00,MC003,80.1,0,28436,RUNNING,69.1,1.5,82.6
2024-01-15 00:10:00,MC001,86.6,0,36070,RUNNING,70.4,2.2,84.9
2024-01-15 00:10:00,MC002,0.0,E002,30245,STOPPED,55.8,0.1,0.0
2024-01-15 00:10:00,MC003,0.0,E002,28436,STOPPED,47.4,0.0,0.0
2024-01-15 00:15:00,MC001,84.4,0,36492,RUNNING,73.6,2.4,82.7
2024-01-15 00:15:00,MC002,0.0,E002,30245,STOPPED,62.7,0.0,0.0
2024-01-15 00:15:00,MC003,0.0,E002,28436,STOPPED,50.9,0.1,0.0
2024-01-15 00:20:00,MC001,81.4,0,36899,RUNNING,69.1,2.6,79.8
2024-01-15 00:20:00,MC002,0.0,E002,30245,STOPPED,60.0,0.1,0.0
2024-01-15 00:20:00,MC003,0.0,E002,28436,STOPPED,45.0,0.2,0.0
2024-01-15 00:25:00,MC001,88.2,0,37340,RUNNING,70.7,2.6,86.4
2024-01-15 00:25:00,MC002,99.7,0,30743,RUNNING,77.8,2.7,75.2
2024-01-15 00:25:00,MC003,0.0,E002,28436,STOPPED,50.6,0.1,0.0
2024-01-15 00:30:00,MC001,80.7,0,37743,RUNNING,73.7,2.3,79.1
2024-01-15 00:30:00,MC002,109.4,0,31290,RUNNING,79.0,2.2,82.5
2024-01-15 00:30:00,MC003,73.2,0,28802,RUNNING,75.0,1.9,75.5
2024-01-15 00:35:00,MC001,88.8,0,38187,RUNNING,76.5,2.7,87.0
2024-01-15 00:35:00,MC002,112.1,0,31850,RUNNING,77.2,2.4,84.5
2024-01-15 00:35:00,MC003,80.1,0,29202,RUNNING,69.6,1.6,82.6
2024-01-15 00:40:00,MC001,85.9,0,38616,RUNNING,74.8,2.8,84.2
2024-01-15 00:40:00,MC002,111.3,0,32406,RUNNING,79.3,2.0,83.9
2024-01-15 00:40:00,MC003,80.2,0,29603,RUNNING,64.5,2.6,82.7
2024-01-15 00:45:00,MC001,80.9,0,39020,RUNNING,71.9,2.5,79.3
2024-01-15 00:45:00,MC002,110.6,0,32959,RUNNING,79.9,2.0,83.4
2024-01-15 00:45:00,MC003,75.4,0,29980,RUNNING,72.5,2.0,77.8
2024-01-15 00:50:00,MC001,79.2,0,39416,RUNNING,75.0,2.2,77.6
2024-01-15 00:50:00,MC002,107.8,0,33498,RUNNING,81.1,2.7,81.3
2024-01-15 00:50:00,MC003,79.3,0,30376,RUNNING,69.6,2.8,81.8
2024-01-15 00:55:00,MC001,76.6,0,39799,RUNNING,77.4,2.1,75.1
